type , group , gender , case , singular , plural
declension , -a/ā , masc , Nom , -o , -ā
declension , -a/ā , masc , Acc , -aṃ , -e
declension , -a/ā , masc , Instr , -ena , -ehi
declension , -a/ā , masc , Dat , -āya , -----
declension , -a/ā , masc , Abl , -ā/-asmā/-amhā , -ehi
declension , -a/ā , masc , Gen , -assa , -ānaṃ
declension , -a/ā , masc , Loc , -e/-asmiṃ/-amhi , -esu
declension , -a/ā , masc , Voc , -a , -ā 
declension , -a/ā , nt , Nom , -aṃ , -āni/-ā
declension , -a/ā , nt , Acc , -aṃ , -āni/-ā
declension , -a/ā , nt , Instr , -ena , -ehi
declension , -a/ā , nt , Dat , -āya , -----
declension , -a/ā , nt , Abl , -ā/-asmā/-amhā , -ehi
declension , -a/ā , nt , Gen , -assa , -ānaṃ
declension , -a/ā , nt , Loc , -e/-asmiṃ/-amhi , -esu
declension , -a/ā , nt , Voc , -a , -āni/-ā
declension , -a/ā , fem , Nom , -ā , -ā/-āyo
declension , -a/ā , fem , Acc , -aṃ , -ā/-āyo
declension , -a/ā , fem , Instr , -āya , -āhi
declension , -a/ā , fem , Dat , -āya , -----
declension , -a/ā , fem , Abl , -āya , -āhi
declension , -a/ā , fem , Gen , -āya , -ānaṃ
declension , -a/ā , fem , Loc , -āya/-āyaṃ , -āsu
declension , -a/ā , fem , Voc , -e , -ā/-āyo 
declension , -i/ī , fem , Nom , -ī  , -ī/-iyo
declension , -i/ī , fem , Acc ,  -iṃ  , -ī/-iyo
declension , -i/ī , fem , Instr ,  -iyā , -īhi
declension , -i/ī , fem , Abl , -iyā , -īhi
declension , -i/ī , fem , Gen , -iyā , -īnaṃ/-inaṃ
declension , -i/ī , fem , Loc , -iyā/-iyaṃ , -īsu
declension , -i/ī , fem , Voc , -i , -ī/-iyo 
declension , -i/ī , masc , Nom , -i , -ayo/-ī
declension , -i/ī , masc , Acc , -iṃ , -ayo/-ī
declension , -i/ī , masc , Instr , -inā , -īhi/-ihi
declension , -i/ī , masc , Abl , -inā/-ismā/-imhā , -īhi/-ihi
declension , -i/ī , masc , Gen , -ino/-issa , -īnaṃ/-inaṃ
declension , -i/ī , masc , Loc , -ismiṃ/-imhi , -īsu/-isu
declension , -i/ī , masc , Voc , -i , -ayo/-ī
declension , -i/ī , nt , Nom , -i/-iṃ , -īni/-ī
declension , -i/ī , nt , Acc , -i/-iṃ , -īni/-ī
declension , -i/ī , nt , Instr , -inā , -īhi/-ihi
declension , -i/ī , nt , Abl , -inā/-ismā/-imhā , -īhi/-ihi
declension , -i/ī , nt , Gen , -ino/-issa , -īnaṃ/-inaṃ
declension , -i/ī , nt , Loc , -ismiṃ/-imhi , -īsu/-isu
declension , -i/ī , nt , Voc , -i/-iṃ , -īni/-ī
declension , -u/ū , masc , Nom , -u , -avo/-ū
declension , -u/ū , masc , Acc , -uṃ , -avo/-ū
declension , -u/ū , masc , Instr ,  -unā , -ūhi
declension , -u/ū , masc , Abl , -unā/-usmā/-umhā , -ūhi
declension , -u/ū , masc , Gen , -uno/-ussa , -ūnaṃ
declension , -u/ū , masc , Loc , -usmiṃ/-umhi , -ūsu
declension , -u/ū , masc , Voc , -u , -avo/-u/-ave 
declension , -u/ū , fem , Nom , -u , -ū/-uyo
declension , -u/ū , fem , Acc , -uṃ , -ū/-uyo
declension , -u/ū , fem , Instr , -uyā , -ūhi
declension , -u/ū , fem , Abl , -uyā , -ūhi
declension , -u/ū , fem , Gen , -uyā , -ūnaṃ
declension , -u/ū , fem , Loc , -uyā/-uyaṃ , -ūsu
declension , -u/ū , fem , Voc , -u , -ū/-uyo 
declension , -u/ū , nt , Nom , -u/-uṃ , -ūni/-ū
declension , -u/ū , nt , Acc , -u/-uṃ , -ūni/-ū
declension , -u/ū , nt , Instr , -unā , -ūhi
declension , -u/ū , nt , Abl , -unā/-usmā/-umhā , -ūhi
declension , -u/ū , nt , Gen , -uno/-ussa , -ūnaṃ
declension , -u/ū , nt , Loc , -usmiṃ/-umhi , -ūsu
declension , -u/ū , nt , Voc , -u/-uṃ , -ūni/-u 
